count_capitalized,count_dictionary_words,count_elongated,count_expressions,count_mentions,count_url,emoji_polarity_score,emoticon_polarity_score,negation,proportion_capitalized,subjectivity
0.0,0.0,0.0,0.0,0.01818181818181818,9.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0196078431372549,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.010309278350515464,16.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.03125,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.013157894736842105,14.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.023255813953488372,12.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.012738853503184714,20.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,4.0,0.01580135440180587,70.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.020134228187919462,24.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.012987012987012988,13.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.011627906976744186,14.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.016,20.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.03773584905660377,7.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.023255813953488372,9.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.016129032258064516,33.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.00510204081632653,32.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.006535947712418301,26.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.058823529411764705,9.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,2.0,0.025252525252525252,31.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.028268551236749116,41.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.023255813953488372,7.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.041666666666666664,5.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.018867924528301886,9.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.017241379310344827,10.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.02702702702702703,6.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.008695652173913044,18.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.041666666666666664,2.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.05263157894736842,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.022727272727272728,8.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.023255813953488372,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.006896551724137931,27.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0189873417721519,46.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.015151515151515152,9.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.058823529411764705,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.012987012987012988,12.0,0.0,0.0,0.0,0.0,1.0
