pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,rule1,rule2,rule3,rule4,rule5,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,count_url,count_elongated,count_mentions,emoji_polarity_score,emoticon_polarity_score,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
1.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.1467272727272727,1.6139999999999999,-0.003363636363636369,-0.03700000000000006,0.13245454545454546,1.457,0.154,1.694,0.0008181818181818182,0.009,0.16945454545454544,1.8639999999999999,0.18354545454545457,2.019,0.14609090909090908,1.607,0.16672727272727272,1.834,0.0008181818181818182,0.009,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.01818181818181818,1.0
0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06333333333333332,0.57,-0.11299999999999999,-1.017,0.09633333333333333,0.867,0.08822222222222223,0.794,0.00811111111111111,0.073,0.0748888888888889,0.674,0.11299999999999999,1.017,0.09633333333333333,0.867,0.09466666666666668,0.8520000000000001,0.00811111111111111,0.073,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.125,1.0,0.0196078431372549,0.0
0.0,2.0,4.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06705263157894736,-1.274,0.01,0.19,-0.033947368421052636,-0.645,-0.06105263157894738,-1.1600000000000001,-0.005736842105263157,-0.10899999999999999,0.08631578947368422,1.6400000000000001,0.01,0.19,0.04689473684210527,0.891,0.07452631578947368,1.416,0.0921578947368421,1.751,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.058823529411764705,1.0,0.010309278350515464,0.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031571428571428584,0.22100000000000009,-0.11342857142857143,-0.794,-0.11942857142857143,-0.836,-0.03885714285714286,-0.272,-0.1422857142857143,-0.996,0.23414285714285715,1.639,0.11342857142857143,0.794,0.36514285714285716,2.556,0.28485714285714286,1.994,0.1422857142857143,0.996,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.16666666666666666,1.0,0.03125,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022416666666666668,0.269,0.016416666666666666,0.197,-0.011416666666666667,-0.137,0.002083333333333333,0.024999999999999994,-0.021166666666666667,-0.254,0.022416666666666668,0.269,0.016416666666666666,0.197,0.011416666666666667,0.137,0.00975,0.11699999999999999,0.021166666666666667,0.254,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0
0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064625,0.517,-0.131,-1.048,0.105,0.84,0.10025,0.802,0.0,0.0,0.064625,0.517,0.131,1.048,0.105,0.84,0.10025,0.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.009857142857142858,0.069,0.0,0.0,0.0,0.0,0.0032857142857142855,0.023,0.0,0.0,0.009857142857142858,0.069,0.0,0.0,0.0,0.0,0.0032857142857142855,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08728571428571429,0.611,-0.015428571428571427,-0.10799999999999998,0.2542857142857143,1.78,0.20285714285714285,1.42,0.0,0.0,0.08728571428571429,0.611,0.2671428571428572,1.87,0.2542857142857143,1.78,0.20285714285714285,1.42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
5.0,3.0,2.0,1.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.036064516129032255,1.1179999999999999,-0.04070967741935484,-1.262,0.06325806451612902,1.9609999999999996,0.06870967741935485,2.1300000000000003,0.013258064516129034,0.41100000000000003,0.1336774193548387,4.144,0.1345806451612903,4.172,0.16958064516129032,5.257,0.15006451612903224,4.651999999999999,0.027774193548387095,0.861,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0
