,count_words,count_capitalized,count_elongated,count_mentions,count_url,proportion_capitalized,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_part,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,count_named_entities,count_number_date_time,future_tense,rule1,rule2,rule3,rule4,rule5,count_dictionary_words,count_expressions,emoji_polarity_score,emoticon_polarity_score,negation,subjectivity,sentence
0,6.0,1.0,0.0,0.0,0.0,0.0606060606060606,0.0161136363636363,0.709,0.0,0.0,0.0225,0.99,0.0128636363636363,0.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,notehbook da dell é um LIXO !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1,19.0,1.0,0.0,0.0,2.0,0.144,0.0714736842105263,1.358,0.0305263157894736,0.58,0.0846842105263157,1.609,0.0724736842105263,1.377,0.0307368421052631,0.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,"#OFERTHEC Notebook Dell Inspiron i14-3442-B10 R$ 1.799,90* à vista ou em 4x sem juros no… https://instagram.com/p/7xZmfGHKF8/"
2,16.0,1.0,0.0,0.0,1.0,0.0508474576271186,0.0369285714285714,0.517,0.0694999999999999,0.973,0.06,0.84,0.0582857142857142,0.8160000000000001,0.0082857142857142,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Semana do Cliente FNAC continua com ofertas de Notebook Dell e Samsung http://quenotebookcomprar.com.br/semana-do-cliente-fnac-continua-com-ofertas-de-notebook-dell-e-samsung/ …
3,18.0,1.0,0.0,0.0,1.0,0.0884955752212389,0.0536499999999999,1.073,0.02045,0.409,0.0518499999999999,1.037,0.03985,0.7969999999999999,0.0064,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,Problemas c/ o teclado do seu notebook Dell? Adquira um novo BB Baterias! Confira os preços: http://goo.gl/RymKrU
4,11.0,0.0,0.0,0.0,1.0,0.0909090909090909,0.1127,1.127,0.0289999999999999,0.29,0.099,0.99,0.0752,0.752,0.0149,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,então vamos começar mudando para um Notebook Dell Vostro http://goo.gl/ZPW5sZ
5,22.0,0.0,0.0,1.0,0.0,0.024390243902439,0.0782608695652173,1.7999999999999998,0.0383478260869565,0.882,0.094695652173913,2.178,0.0772173913043478,1.776,0.0274782608695652,0.632,3.0,3.0,3.0,3.0,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.1304347826086956,1.0,1.0,1.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,0.0,0.0,-1.0,0.0,1.0,@telmakalistos O problema é que o meu notebook que estragou era justamente da Dell. Não tive uma experiência boa com ela :(
6,15.0,2.0,0.0,0.0,0.0,0.1714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC
7,12.0,0.0,0.0,0.0,0.0,0.0533333333333333,0.061125,0.978,0.05375,0.86,0.0535,0.856,0.0524999999999999,0.8399999999999999,0.0045,0.072,1.0,1.0,1.0,1.0,0.0625,0.0625,0.0625,0.0625,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,"Eu odeio esse notebook da Dell, mano, vocês não tem noção. #SaudadesSamsung"
8,20.0,1.0,0.0,0.0,1.0,0.1726618705035971,0.0198846153846153,0.517,0.0696538461538461,1.811,0.0658846153846153,1.713,0.0518076923076923,1.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"Notebook Dell Vostro V14T-5470-B30 Intel Core i5 4GB (2GB de Memória Dedicada) 500GB LED 14"" Touchscreen Windows 8... http://fb.me/J7liX8dJ"
9,11.0,1.0,0.0,0.0,1.0,0.1071428571428571,0.1013749999999999,1.622,0.059375,0.95,0.1173125,1.877,0.0926875,1.483,0.0,0.0,1.0,1.0,1.0,1.0,0.0625,0.0625,0.0625,0.0625,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,#DICA Compre um super notebook com qualidade Dell! Confira: http://goo.gl/mbRp7J  ??
