pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,rule1,rule2,rule3,rule4,rule5,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,count_dictionary_words,count_named_entities,count_number_date_time,future_tense,count_url,count_elongated,count_mentions,emoji_polarity_score,emoticon_polarity_score,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611363636363636,-0.709,0.0,0.0,-0.0225,-0.99,-0.012863636363636362,-0.566,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.16666666666666666,4.0,0.06060606060606061,1.0
1.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00631578947368421,0.12,-0.030526315789473683,-0.58,-0.009000000000000003,-0.17100000000000004,-0.000999999999999995,-0.018999999999999906,0.030736842105263156,0.584,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,6.0,0.3157894736842105,18.0,0.144,0.0
0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03692857142857143,0.517,-0.06949999999999999,-0.973,0.06,0.84,0.052714285714285714,0.738,-0.008285714285714287,-0.116,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,6.0,0.375,9.0,0.05084745762711865,0.0
1.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017249999999999998,-0.345,0.020450000000000003,0.40900000000000003,-0.04715,-0.943,-0.016749999999999998,-0.33499999999999996,-0.0043,-0.086,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,7.0,0.3888888888888889,10.0,0.08849557522123894,0.0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029099999999999997,-0.291,0.028999999999999998,0.29,-0.099,-0.99,-0.03799999999999999,-0.37999999999999995,-0.0149,-0.149,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,4.0,0.36363636363636365,7.0,0.09090909090909091,0.0
1.0,2.0,2.0,1.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.00591304347826087,0.136,0.03834782608695652,0.882,-0.008173913043478264,-0.18800000000000006,0.002869565217391307,0.06600000000000006,0.01643478260869565,0.378,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,22.0,2.0,0.09090909090909091,3.0,0.024390243902439025,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.9333333333333333,18.0,0.17142857142857143,0.0
0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0625,0.0625,0.0625,0.0625,0.061125,0.978,-0.027500000000000004,-0.44000000000000006,0.04724999999999999,0.7559999999999999,0.05249999999999999,0.8399999999999999,-0.0045,-0.072,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.25,4.0,0.05333333333333334,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019884615384615386,0.517,-0.005192307692307692,-0.135,0.06588461538461539,1.713,0.051807692307692305,1.347,0.0,0.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,16.0,0.8,24.0,0.17266187050359713,0.0
1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0625,0.0625,0.0625,0.0625,0.012750000000000004,0.20400000000000007,-0.059375,-0.95,-0.006437499999999999,-0.10299999999999998,0.021937500000000006,0.3510000000000001,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,0.45454545454545453,9.0,0.10714285714285714,0.0
