pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,rule1,rule2,rule3,rule4,rule5,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,count_dictionary_words,count_named_entities,count_number_date_time,future_tense,count_url,count_elongated,count_mentions,emoji_polarity_score,emoticon_polarity_score,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611363636363636,-0.709,0.0,0.0,-0.0225,-0.99,-0.012863636363636362,-0.566,0.0,0.0,0.01611363636363636,0.709,0.0,0.0,0.0225,0.99,0.012863636363636362,0.566,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.16666666666666666,4.0,0.06060606060606061,1.0
1.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00631578947368421,0.12,-0.030526315789473683,-0.58,-0.009000000000000003,-0.17100000000000004,-0.000999999999999995,-0.018999999999999906,0.030736842105263156,0.584,0.07147368421052631,1.358,0.030526315789473683,0.58,0.08468421052631579,1.609,0.07247368421052632,1.377,0.030736842105263156,0.584,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,6.0,0.3157894736842105,18.0,0.144,0.0
0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03692857142857143,0.517,-0.06949999999999999,-0.973,0.06,0.84,0.052714285714285714,0.738,-0.008285714285714287,-0.116,0.03692857142857143,0.517,0.06949999999999999,0.973,0.06,0.84,0.05828571428571429,0.8160000000000001,0.008285714285714287,0.116,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,6.0,0.375,9.0,0.05084745762711865,0.0
1.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017249999999999998,-0.345,0.020450000000000003,0.40900000000000003,-0.04715,-0.943,-0.016749999999999998,-0.33499999999999996,-0.0043,-0.086,0.053649999999999996,1.073,0.020450000000000003,0.40900000000000003,0.05184999999999999,1.037,0.03985,0.7969999999999999,0.0064,0.128,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,7.0,0.3888888888888889,10.0,0.08849557522123894,0.0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029099999999999997,-0.291,0.028999999999999998,0.29,-0.099,-0.99,-0.03799999999999999,-0.37999999999999995,-0.0149,-0.149,0.1127,1.127,0.028999999999999998,0.29,0.099,0.99,0.0752,0.752,0.0149,0.149,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,4.0,0.36363636363636365,7.0,0.09090909090909091,0.0
1.0,2.0,2.0,1.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00591304347826087,0.136,0.03834782608695652,0.882,-0.008173913043478264,-0.18800000000000006,0.002869565217391307,0.06600000000000006,0.01643478260869565,0.378,0.07826086956521738,1.7999999999999998,0.03834782608695652,0.882,0.09469565217391304,2.178,0.07721739130434782,1.776,0.02747826086956522,0.632,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,22.0,2.0,0.09090909090909091,3.0,0.024390243902439025,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.9333333333333333,18.0,0.17142857142857143,0.0
0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.061125,0.978,-0.027500000000000004,-0.44000000000000006,0.04724999999999999,0.7559999999999999,0.05249999999999999,0.8399999999999999,-0.0045,-0.072,0.061125,0.978,0.05375,0.86,0.0535,0.856,0.05249999999999999,0.8399999999999999,0.0045,0.072,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.25,4.0,0.05333333333333334,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019884615384615386,0.517,-0.005192307692307692,-0.135,0.06588461538461539,1.713,0.051807692307692305,1.347,0.0,0.0,0.019884615384615386,0.517,0.06965384615384615,1.811,0.06588461538461539,1.713,0.051807692307692305,1.347,0.0,0.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,16.0,0.8,24.0,0.17266187050359713,0.0
1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.012750000000000004,0.20400000000000007,-0.059375,-0.95,-0.006437499999999999,-0.10299999999999998,0.021937500000000006,0.3510000000000001,0.0,0.0,0.10137499999999999,1.6219999999999999,0.059375,0.95,0.1173125,1.877,0.0926875,1.483,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,0.45454545454545453,9.0,0.10714285714285714,0.0
1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06636363636363636,1.46,-0.0769090909090909,-1.6919999999999997,0.11209090909090907,2.4659999999999997,0.11354545454545456,2.498,0.0,0.0,0.1308181818181818,2.8779999999999997,0.1620909090909091,3.566,0.20209090909090913,4.446000000000001,0.165,3.63,0.0,0.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,5.0,0.25,6.0,0.05172413793103448,0.0
0.0,4.0,0.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08986363636363638,1.9770000000000003,-0.11540909090909092,-2.539,0.14754545454545454,3.2459999999999996,0.1442727272727273,3.1740000000000004,-0.005272727272727273,-0.116,0.15431818181818183,3.395,0.2005909090909091,4.413,0.23754545454545453,5.226,0.1992727272727273,4.384,0.005272727272727273,0.116,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,5.0,0.25,7.0,0.0625,0.0
1.0,3.0,6.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.026999999999999996,-0.6749999999999999,-0.0232,-0.58,-0.03704,-0.9259999999999999,-0.013959999999999998,-0.349,0.011720000000000001,0.29300000000000004,0.10124000000000001,2.531,0.054639999999999994,1.3659999999999999,0.10711999999999999,2.678,0.09468,2.367,0.03252,0.8130000000000001,20.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,2.0,0.08695652173913043,3.0,0.022388059701492536,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659090909090909,0.725,0.08054545454545455,0.886,0.0,0.0,0.04881818181818182,0.537,0.0,0.0,0.0659090909090909,0.725,0.08054545454545455,0.886,0.0,0.0,0.04881818181818182,0.537,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,3.0,0.25,5.0,0.04065040650406504,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,0.35714285714285715,6.0,0.0759493670886076,0.0
0.0,4.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0584736842105263,-1.1109999999999998,-0.04347368421052631,-0.826,-0.0875263157894737,-1.6630000000000003,-0.057157894736842095,-1.0859999999999999,0.018736842105263156,0.356,0.11963157894736842,2.273,0.05894736842105262,1.1199999999999999,0.17594736842105263,3.343,0.13894736842105262,2.64,0.08452631578947367,1.6059999999999999,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,3.0,0.17647058823529413,3.0,0.03529411764705882,1.0
0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000005,0.32500000000000007,-0.14969230769230768,-1.946,0.05307692307692307,0.69,0.07600000000000001,0.9880000000000001,0.0,0.0,0.13407692307692307,1.7429999999999999,0.14969230769230768,1.946,0.2053846153846154,2.67,0.1630769230769231,2.12,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,14.0,7.0,0.5,29.0,0.29,0.0
